id,hash,rank,case,request_written,result_written,verdict_written,envelope_seconds,candidate_start,candidate_end
03728d05434b4669bd1253131aacca1c,77b76ee0223334fd4827fccf21871d8d062785a6645ae2b09a9fa8b21b9b29ea,7,ibm10,1790090853.7966197,1790091213.3762476,1790091213.4722476,359.67362295100247,1790090854.0370452,1790091156.2693825
dfc5056f49e543058a6606ac07d2aeab,a68f67c4fa3bd4f2cf11883ad0967ac484af85eca8189be80207941fe5720ab2,7,ibm02,1790092504.8269923,1790092507.16299,1790092507.23099,2.401229161001538,,
089eb466f10042d0a3c036ae5ff86025,69953912d09492205091fca7934948f568eef6825a731011b2004fa3a40d9984,7,ibm01,1790091223.448238,1790091225.8522356,1790091225.9842353,2.5327306399994995,,
bf287c28976a49fdb0ee3a4d0017a95b,a301ae4a9edabd4ea230bc16fd2e096f890f016372668474f2f6cd9c0d77e933,7,ibm01,1790093644.9738846,1790093647.2578824,1790093647.3378823,2.3508151169990015,,
bb476bd4827a4a759e712c1e35345c6a,1d41894af5e85e1d26179a8e6938edb5926ad9182050e4143d97ce6c4da7b11b,7,ibm11,1790090802.97267,1790091122.6683357,1790091122.7483356,319.774316903,1790090803.1622117,1790091103.3286116
743d9105b98e42b49c410cc028f903f1,8b4819f647571f8db1b88677d21d3e3ef2ed0f1eb3006e6aa983fe93d609f72e,7,ibm10,1790093713.4778183,1790094068.0654738,1790094068.1334736,354.6540200490017,1790093713.6529891,1790094013.7805328
52c998980ce44177afe1f180504a8d07,f1b7fed651594999882e15d48acf75844233f92ba26584852c2357317af4ebb1,7,ibm02,1790092572.5229266,1790092574.7989242,1790092574.8869243,2.350622684996779,,
92b6da9ad130424e8536e6a0d8456cf9,2cf0d2bab87f1f036843af407c1ba6093967846cec1c9bfeefbc03a7d4413053,7,ibm06,1790091542.239928,1790091544.6119256,1790091544.6919255,2.4509224260000337,,
18ee0ae37df7485c849708e3dcbdedab,573dc18fa319a068a2fabbe17e4990983db9bb16f0de836c9ea564cd3d568b1e,7,ibm12,1790093630.013899,1790093632.277897,1790093632.365897,2.3509216170023137,,
5c7a20c7147d42789eae00109556fcd5,fd2f8f769356a0589931fa08ea2deedd30032cf11aa47a687cccd721db1c8eb4,7,ibm13,1790090551.716914,1790090857.1446161,1790090857.240616,305.5255880680015,,
2706f0f4f2524d629263afe81dfc6276,668967da21916e82cba104126d2bad890a5563cfb790b46d40178707cf7b6bb8,7,ibm14,1790090850.4566233,1790090852.7566206,1790090852.8566206,2.400670920000266,,
c3fdbd62ac3642fda056271808101682,d17e58af411caf1484bcb634153b028a15855776476facb80a74411133c347e5,7,ibm06,1790091452.9920146,1790091455.2840126,1790091455.3680124,2.3502261040011945,,
09de508667c445a69d7e95abdebeb829,09cde5d338678c87505d9371e876b2258389c2e2d8fd01ed852df2257d8a3dc0,7,ibm10,1790090800.5606725,1790090802.8126702,1790090802.9126701,2.3511679279981763,,
0a82ceacae494f30a57b20ba4cdf0da9,0b2f842135625a945b9ba9212f1445b5fe1966e2226f3926a2ec5eecd868a95b,7,ibm17,1790093173.210343,1790093304.2742155,1790093304.3542154,131.1246310380011,1790093173.4387116,1790093181.6172848
e453ba51cab44f5bad5cc625579bcbbf,ef3b709704fff33221d803997f3d1a2d70f62f497736fccb8b84191ee12a10ca,7,ibm06,1790092347.2671454,1790092659.362842,1790092659.446842,312.1799949990018,1790092347.449706,1790092649.339977
c2fabd364be34be4ad91bd996eeb6c0c,381535189cc88b6689a13cf9a4729f57eb5e196f60a5ef185d895e48144b43cf,7,ibm06,1790092430.4110646,1790092742.4507613,1790092742.5307612,312.1172089069987,1790092430.599026,1790092731.723579
f374f64415be436eb1480e80e246d89e,5a5ae983613025f1e5bdfd3964a7ae651d96c3efe9cec567ccdb5d71723367f4,7,ibm17,1790093687.885843,1790093690.3058407,1790093690.3858407,2.502261494002596,,
5b7973f8042c4cd2862879a6d8b05493,fd2f8f769356a0589931fa08ea2deedd30032cf11aa47a687cccd721db1c8eb4,7,ibm08,1790090544.7769208,1790090848.5566251,1790090848.6486251,303.8577179290005,,
4d7a54a35e47430285f2b3876cb15de8,9f0e340a06dc3d29c347952507d6fdd87f1535ad9711eafdfac82d1323140aa5,7,ibm14,1790091217.8482432,1790091220.3322408,1790091220.4042408,2.551689838001039,,
6d3eb5a0d1414ea1ad2683712951f71f,1e98f30ab6c54b65b2b509ede47d96ba8e51038810c28a30090bf887584d915c,7,ibm16,1790093704.8298266,1790094011.9655282,1790094012.0415282,307.21189037099975,,
d651636db7c645ac8552610d77d15d79,5137ec2d725c458556f16fcb5f1403ee118dc6fbe50f7113bc07f6a2ee34cb3e,7,ibm11,1790091179.7362802,1790091502.2479668,1790091502.3279667,322.5889312340005,1790091179.9902937,1790091482.1086962
bbe19e515fc840f8857ddddd9b2dc707,53d26d3709f280a01ec16fd3c3583bef12a06094b674488f2bdcff81ae84d7c7,7,ibm16,1790091962.6595192,1790092339.2471533,1790092339.3311532,376.66986678800095,1790091962.8564029,1790092260.078748
5752d0468172461a89b82cf2ed2c1932,727fb0579dad63e6706ffd55d5f579f98bec950cbe32e1aad38462aa2a629b0d,7,ibm14,1790093685.2778456,1790093687.6218433,1790093687.677843,2.400908931998856,,
ddf8326e954e4966a3959dec0c227f35,aff4330f1268f9a53a253d6c5b4e10d4f02b688950bdb65832253cc6c2774ba6,7,ibm02,1790093893.5136433,1790094206.2133396,1790094206.3053396,312.7925210249996,,
c7fb2f1434e14ad589879ec4285e3a47,f1194577cdafe4f2199c607c9b69c406161e604133253f318270f81794d3bd3d,7,ibm08,1790094412.785139,1790094415.2651367,1790094415.3451366,2.552402869998332,,
a0a43fe6ddfe4ac3846375d0e7e602ae,3b70d4581067120e7cbd60ca5b80c8e315ebdd7bfb1128e6d54e374709feb246,7,ibm10,1790090177.1332777,1790090497.120967,1790090497.2209668,320.0891083919996,,
630bfebc37114128b1f6b3c8cd556e85,0e34e34b76c11ae9e133722a57c43483fd3b45391d64931c6c5accec3ea807e1,7,ibm10,1790092080.7994044,1790092437.8710573,1790092437.9630573,357.1625738490002,1790092081.049821,1790092383.205372
35bdc9d5e3ef494a8a55ac18c3a9881f,c351deefcfa4fb8ae27601fcd0e5ee7f7905f7cde2d79a098294fc9b69e2882b,7,ibm11,1790093369.0701525,1790093390.8301315,1790093390.9021313,21.83016183399741,1790093369.3160195,1790093371.5877678
64e139c5ddb04d548cfd0bc851191cec,a1e08a201f78621533cb8f8267e0cbef5f0604603243d40f00c44308f45254f1,7,ibm08,1790094843.0207214,1790095164.5724094,1790095164.6444094,321.62219127700155,1790094843.209404,1790095145.4370112
77133b93397d4a6582e1deb04333c9df,01873d541d26d8017e03bcc26950725230aa2642679555c123e148947b84465b,7,ibm15,1790090571.6048946,1790090914.5245552,1790090914.5885553,342.97979650100024,1790090571.789496,1790090871.9545116
3378cfa728c94f07b3d72ea5c031e04a,1a23cba72eb048498417858333995035e5cf056f21fc5ba9a87b0ec86d41cada,7,ibm11,1790092777.9187267,1790093096.3304174,1790093096.3984175,318.4815498600001,1790092778.137688,1790093077.3734062
